,Review
347,"safe privacy , app everything recorded including creadit card , type pass word , good . "
348,uninstalled . would give app access passwords credit cards information ? way . 
349,"download app try login disappointed asking allow personal information like credit card , passwords etc , makes disappointing immediately uninstall app . "
350,app asks collect data including password ? ? ? trust ? 
351,got attention app collect password data type phone unsafe users 
352,find good app . ask access personal information like passwords credit card details . safe allow app access personal information . issues accessing kind personal information good . 
353,"installed app removed , collecting inputs data , passwords accounts , safe use . "
354,grammarly wo respect privacy ! knows type even knows password ! recommend uninstall app keylogger . 
355,demands words type shared grammarly app . seems potential harm personal security . 
356,think grammarly app small bug want collect get permission mobile collect information including credit card numbers details . think grammarly definitely fix . huge bug personally like app getting permission things deleted please fix issue like app 
357,"capturing every data.data security big issue , typing card number pin collected log form . dont conversation go app . otherwise risk private data ... "
358,"may good , collect every information phone , says also password whatever type.thats bad apps , like hacking apps.so dont remove permissions apps shall better . "
359,everyone kindly watch attention secure app ... ignore 
360,app extracts data enter including passwords safe 
361,invasive app invasive collects many personal information including personal texts card/bank numbers . least antivirus says . therefore decided delete app . 
362,app may collect sensible personal data like password credit card number . seriously ? ? 
363,"app asks permission store personal data passwords , bank details etc . , "
364,app assessed personal data including credit card number password 
365,"secure app every typing record even credit card number , password also personal data . "
366,"grammarly records everything passwords , credit card details , bank details , personal details . using app like put risk .... think twice installing .. "
367,deleted app second informed app collecting everything type like passwords credit information . expect people would use app access sensitive information ? get order improve must test apps capabilities passwords factor ? real shame . sounds like great app . 
368,app wants save personal info like credit card numbet details ? 
369,"app takes personal info like password , credit card details , everything . f ... "
370,app records user credit card details password etc risk . uninstalling app 
371,"privacy issue , app record everything , start atleast unlock phone , app suspicious "
372,app great use helpful one drawback app permission . please note personal passowrd person private information asking approval illegitimate . could avoid particular permission app sound ethical . thank . 
373,warning app may collect password credit card info made uninstall . 
374,"recieved warning enabling app saying , app record everything including creadit card numbers , passwords .. expect someone enable app record whatever typed apps ? security ? "
375,feel comfortable giving access app credit card numbers passwords . 
376,app wants record passwords credit card numbers .. installing phone got notification app needs permission record whatever type including passwords card details .. 
377,"use matter app know password , credit card information phone security please install like hacker "
378,using app puts privacy risk ... : ( 
379,"worst app ever requires lot personal data like credit card details , passwords , many permission necessary app opinion . hope clear soon . download app . "
380,"privacy breach . app collects personal data including every text type receive , images contacts internet search history . information stored sold third party . agreed & c credit debit card details collected along information made available . think carefully downloading app onto device . "
381,app asking permission read details bank account applications password 
382,"app recording everything type including personal chat , password , otp . safe personal data leaked . uninstalled already . "
383,app wants permission collect personal data passwords credit card numbers . take care want use ! 
384,"installing app asking permission store password , credit card number etc ... use app want steal data "
385,app needs personel information like passwords etc ... uninstall .. ! 
386,"worst app wants access password , account etc . * donot install app * "
387,experience app want point negative review said app privacy policy says : `` explicit consent share personal data . `` technically context . actually says : `` disclose personal data third parties : ... explicit consent share personal data . `` may make difference wanted point . 
388,"saw pop-up grammerly personal data like credit card number , passwords immediately uninstalled app 😱 "
389,"! ! ! warning ! ! ! going use . installed , going settings . pop saying app may track passcodes , passwords credit card details .. red flag right uninstalled straight away "
390,"data regarding passwords social media , banks stuff remembered shared . thanks , giving permissions . garbage app "
391,"app records passwords , pin , personal data also . careful installing . "
392,spy app . read n save everything u write ( including c.c . & password ) . 
393,device information theft . hate hand permission simple app 
394,secure app ask permission capturing password credit card information 
395,keeps personal secret data . means dangerous app download . 
396,"uninstalled app , store personal data like credit card passwords type . "
397,install open tells pop window grammarly records everything type including passwords personal material . understand apps take info phone dangerous . bank credit card account passwords username stored whoever developed app database . knows developer . thanks ! ! 
398,wanted use app based description dont want app collect password personal information typing . hence uninstalled ! 
399,app want collect passwords credit card numbers ! ! would never use app ! 
400,"app gets keep personal information passwords etc , trust . "
401,"app collect anything type including credit card information , passwords , phone numbers , information may type app downloaded . saw notification warning even used app , decided deleted immediately . "
402,"'ll stick online version avoid installing spying keyboard feature regardless in-app reassurance . data collection everywhere , dont willingly hand sensitive info . app developers , phone developers , entire world - better . "
403,"app need access keyboard ! dangerous ! ! install allow , access private important data . "
404,needs permission record everything type including password credit card details ? app giving us privacy 
405,"downloaded app first thing told records every personal messgaes , data including passwords , credit card details pins . compromise individual privacy . deleted app . "
406,careful guys alerts uses personal data including password credit card numbers .... installed friend phone needed noticed point ... allow deleted app immediately .... 😦 
407,"ask permission , fine says allow app see personal data passwords stuff , except app okay . "
408,"disappointed ! must authorize app access sensitive information credit card info , passwords , etc . use grammarly keyboard , proceed . feels bit invasive privacy definitely turned downloading much desired app ! unfortunate ! maybe developers find another way , without intrusive . "
409,even concern regarding privacy using app ? clearly says maybe able collect personal info passwords credit card numbers . really ! uninstall right away . thanks honest developer app . 
410,remember credit card details app totally destroys privacy 
411,intrusive need give access download apps service pay ! want access account phone without needing add anything 
412,app collects atm . password u type.so secure use app 
413,app safe ? says app may access passwords credit card number . trust app ? 
414,"unable allow due app basically potential act keylogger knows passwords banking info , etc . "
415,"serious cybersecurity risk ! app retain passwords , well credit card information ! "
416,unwanted app uninstall ! please fix problem ! ! would appreciated uninstalled 
417,"intrusive , full access pws , texts , etc . , right privacy . makes wonder really behind app . "
418,app need access passwords ? typing logging private accounts ! 
419,"app intrusive , want permission write , data , passwords , everything , hell , many frauds . scams hacking happening give permission app take life . 'll live , thank . "
420,"purchasing informed absolutly assured permissions asked grant , nothing functionality app , bed use , including passwords type ... stupid enough grab permissions deserve risk taking . product selling . "
421,give permission app collect type ? info credit card mumbers . awful invasion privacy . 
422,security risk ! app reads memorizes everything type including passwords . promptly uninstalled 
423,app wants record credit card numbers passwords ? sense : ( 
424,"app collect data information , password credit card number . safe app . "
425,wanted try immediately uninstalled reading data collection included personal information passwords . 
426,app says going collect account numbers passwords . watch . 
427,app warns data collection like passwords ... 'll pass ! ! ! 
428,super excited download saw ad . like permissions ask . reason app needs data texts emails basically personal things . hastily deleted app saw . would beware app needs many permissions 
429,excessive permissions . need access contacts . 
430,"understand app need use credit card password details , , , ? ? ? everybody uninstall app। risky। "
431,"use app enable store data input , including passwords banking details , huge thumbs privacy protection . could changed could good app really need . "
432,"installing , shows warning everything type including passwords may recorded app . please make sure safe ? "
433,app scares even android disclaimer saying block fields marked sensitive wo collect . well put password credit card marked sensitive site company data . get hacked . 
434,"use yet . becoz fear initial stage asks permissions personal data , yeahh okay permissions like locations , files etc giving away credit card numbers passwords good idea "
435,app saying collect typing . including passwords account details . app privacy threat . please install 
436,tried change password app ways acces website mobile device ask use app platform send request forgot password received nothing link say change password . 
437,"seems app 'acting like key logger , spying type , sending oversees examined , ussually information sold circumstances . type go people , depending sorts apps . modest features app doable phone without sending anything others . word processing pc years without sending typing away . many phones many times performance required . honest living sell spyware free version sends nothing . "
438,dont trust app collects personal data passwords credit card numbers smart add 
439,hi app potential collect confidential data passwords credit card information . use phone e wallet please careful 
440,giving permission add grammarly keyboard message pop-up ( attention ) saying access passwords credit card numbers . ca trust app fully . 
441,im freaked attempted set grammery app keyword device cuz message pop saying `` attention `` u add app keyword u must enable accept following requirement.1st grammery collect ur passwords info credit card info read n access ur privicay messages ! u give permission requirements ? well trust app n give permission access message apps n collects private info inc credit card info ! sorry acceptable im giving permission use keyword im happy use device keyword .. 
442,"beginners mistake app architecture . logged google account , try log work google account device . logging log . want log another account , asking gmail account want log anymore . taking last account default . stuck bad gmail account wo look ways circumvent ... supposed happen . email . mistaking , please tell , send email corrected . good day "
443,like apps intrusive terms privacy . apps ask access private passwords credit card number ? . violation infringement privacy . 
444,good app overall comes confidential stuff safe 💔 
445,app collects info . got report use many corrections made . also advised collected private info like passwords credit card numbers . uninstalled samsung pronto . 
446,issue phone alearted app could record passwords credit card numbers . times used great wo use . 
447,deleting app notified get passwords credit card numbers ..... really ..... cant good app doesnt need/want personal info . 
448,start app unless give permission access everything including passwords ! wont 
449,uncomfortable app potentially collecting written text includes credit card info passwords . uninstall . least warning came completed process . 
450,collecting private data passwords made think twice uninstalled . privacy concerns important grammarly . 
451,"problem storing & entering data & passwords secretive & one us , access . know company policy & data goes servers , never used . still scary . sorry , donwload app , install & use . "
452,"keep mind app collects important password everything type , accepts use enabling app .be careful ! "
453,"app collects personal data , including passwords fishy one . never install app like . "
454,intrusive . right searching peoples email addresses sending unwanted messages . recommend app . 
455,"wanted install keyboard , permissions said `` stores credit card numbers `` screw , something goes wrong one `` digital pick pocket thief `` worry . keep dishonest app ! "
456,"launching app , greeted warning stated personal information enter using keyboard passed developer including passwords credit card details . "
457,"app would let log account . reset password twice keep getting `` rate limited `` response . far , useless . "
458,almost everything app fine comes `` personal data `` sorry allow privacy third party . requesting something like passwords even credit card numbers ! thanks ! gor ... ! 
459,"app wanted access passwords phone , ! ! ! hell grammarly need access passwords work ? "
460,"wanted use app , installed , gone & c unistalled . collects password valuable data , need improvement "
461,worst app dont download . records type including credit card numbers passwords everything 
462,"swiping , mobile security solution notified low reputation app permissions requiring - keyboard app needs scan contact list , many times called texted someone , downloading files without authorization even little letting know . looks sketchy security data gathering perspective . "
463,originally excited app . however self conscious installing pixel phone tells app could recording everything typing . including passwords credit card info ... seriously true activating key logger phone someone rip identity . 
464,"app got stuck denied phone calls permissions , additionally app ask gps permission works allow , many bugs deny permission open , words , must allow enable everything want app works , fact activate button enable put cellphone number denied location . "
465,"installed sms link , log facebook work whatsoever . accessed google store install second time , time installation even start phone . restart many times get 1 app ? never happened app . log facebook still functional . plus , app need access contacts ? relevant food orders ? "
466,installed automatically phone without permission ? ! 
467,"app allow cutting pasting username & passwords , discourages lengthier strong passwords "
468,fingerprint sensor password like bank apps . mobile deposit included already included app instead asking . whole bank behind technology 
469,app needs trashed revamped . want irritated get app ! asks security question security question never able log account . one issue . terrible unsafe way manage/view accounts app way running . 
470,app worked great super easy use . loved able keep track everything . app refuses open using 5 months . ca open app input data get data . tried uninstalling reinstalling still launch app . highly disappointed . 
471,camera app suuuuuuuuuuuuuuuuuks ! ! ! ! ! ! ! 
472,safe app . disclosure says may share data others . also one purpose app help free space internal memory ca move app sd card . deleted . 
473,update . effectively locked app . 
474,trust apps want access things phone . offered send photo demand access photos . 
475,rubbish app need info even sign permission make phone calls ? ? ? wth ! useless . 
476,dangerous app . install phone . collects private data background 
477,"liked app features , paid unlock full app remove watermark latest update voided purchases requires monthly subscription , scammer ! already emailed google demanding refund . "
478,"another update . one star.i tried job , wasted lot time trying get app work . get text asking finish job . said app crashes , sent one pic got view available . another text , thing . email sending examples views want , app work . email saying give permission media . , blocked . asked permission set . support otherwise "
479,hate worst app ever wish download app work camera 😡😡😡😡😡 
480,"app violating act , person information used without permission ads . friend personal data misused applications ad purposes . resolved asap , offencible case filed app . "
481,"privacy ick . besides app asking take nude pictures month , stopped working demanding permissions connect nearby devices . liked sleep tracking way many privacy red flags justify service . plus $ 11/month charge made easier delete service . "
482,"dont want run app keeps signing watch wo connect . app invasive always sends data uses lots data , lots , thanks ! ... watch work without . garbage "
483,wants access way much phone . caution apps . 
484,developer addres gmail ? never trusted app like . 
485,"install app . malware app burns data forces random popups spam device constantly . trust rating , look reviews 'll see 5 star reviewers clearly bots . opened app installing two weeks ago , course two weeks used 3gb data , constantly sent popups , opened apps show ads , interrupted apps using , etc . god knows things meantime , passwords files stolen well . google play needs remove app store immediately . "
486,app privacy theft 
487,bekar app install invite 
488,"uninstalled worst app , cant able stop notification , please dont send anything app lock screen "
489,google please investigate app app stole atm bank account details 
490,•very bad app . •it block earn . •do trust app . • fake app •please google remove app immediately . •it break . 
491,spam app . install . steals private data misuses . app also hack phone . 
492,worst app world.fake app legal issues created app . download app .most fake app world . please hide app google play store best users . 
493,"app need permission access files device & sd card including pictures & videos ? ? ? ! prying one privacy ! ! google must look & permit thise apps permissions written/virtual oath shall shared anyone & breach , developers well owner concerned app must hold accountable & responsible law usa ! thanks ! pritam tewaney panama🇵🇦 "
494,"alert : unsafe app . possible cyber identity theft app . install app , get palm scanned . option appears free trial subscription . app already picks bank info android phone . cancel button . kill app exit . maybe entertainment , unsecure . "
495,app cut money online bankin without permission .. rm109.99 ... bad ..... lets report app guyss ... 
496,"need permissions ? camera , location , phone storage , calendar sms . think much app functions basic . "
497,wants app permissions even use . 
498,"app sucks balls . sign every single time accept using code sign , requests password well freaking code app says need use password choose code . total lie , use get past entering password .. oh enter password .... gives error ... every ... freaking .. time . removed phone would like know remove information app . "
499,hate . another app needed add phone ... junk cluster 
500,constant logging annoying . make fingerprint lock feature remember option . 
501,horrible spying app . need know location ? ? ? ? dont want share ! ! ! ! ! navigation software ! ! ! 
502,great product . unnecessary intrusive app permissions . 
503,little intrusive permissions . ca think single reason company sells device would need know exactly times . app work 300.00 device work unless agree let track . good app otherwise . -2 stars unnecessary draconian permissions . mind business . 
504,app disabled deleted app store playstore 
505,"comes privacy , app absolutely zero respect users . "
506,addictive app . terms conditions privacy intrusive 
507,love app privacy one thing please help 🙏🏼🙏🏼😤 
508,bad app take information documents time block app forever app good safety privacy 
509,worst app ca opened camera open camera started downloading 3 % download automatically quit 
510,❌ privacy risk : reading device app history . others thing 
511,worst app may risk privacy . 
512,refuse platform app leak personal data good 
513,accessing phone data . secure use app 
514,download app app steals personal data ￼ 
515,worst app grand security permission taking data 
516,data hacker app please secure privacy 
517,bad app filled bugs privacy 
518,fail app secure download app download roposo app 
519,worst app . want waste full time & working i. e. think useless use app . also app leak personal information & data . 
520,app secure worst app enjoyable 
521,app secure phone data 
522,unwanted apps remove mobile play store 
523,enjoying app privacy info app 
524,"poor app app stealing country people highly confidential information say example goggle search history tiktok account holder , photos , videos messages ... "
525,fraud advertising remove google app 
526,"since latest update worst app ever . rarely get offers . time get warnings gh driver app responding received location update , change settings . max allowed permissions . ca give access . even replaced phone thinking problem . phone payment app still problems locating . "
527,"application process stage scan license app closes accepting image . every time return app still scan licences page . option upload file photo option log compete process via website . please update app , enabled permissions android 11 "
528,trend micro told app unsafe collect data send third party 
529,anytime app requires picture taken says camera app found . also uncommon get messages saying received location update show location perfectly . 
530,"tried sign installing app 1st time could get past 2and step selecting state/city accepting privacy policy . said unexpected error , please try . tried numerous times , closing reopening app , avail . uninstalled instead . worth hassle already experiencing issues . "
531,app always requesting location permission set already gps problem sucks 
532,"ca get app open android , ca get past privacy statements ! "
533,downloaded app used car wash.this app requires much information rewards including credit card information app intrusive immediately uninstall 
534,awful app ever saw ! contains spying ! 
535,"idea bad . however app terrible- lot bugs , silent notifications , photo matching work properly . also , looks like requires unnecessary permissions . "
536,"app wants access calls , list numbers , access storage files . ? ... hate app . "
537,"app abandoned google compromise gdpr + control parts phone never access ( turning sound full set silent , access sd card , phone calls access ) "
538,"app work without permissions never ask . managing phone calls access file system needed implement app work without . also , permissions required app launch instead actual moment using corresponding features . buggy applications intrusive permissions never allowed play store "
539,"terrible app . installed got 10 identical ! notifications 4 hours way home . spamming every 15-30 minutes ( like helping get home faster ( ) ) . also , asks unnecessary intrusive permissions : manage phone calls , access storage ( without permissions app work ) . afraid look forward next bugs lucky see . "
540,"terrible app . multiple occasions , tells home even though sitting living room keep resetting . might well uninstall wait police call confirm home – seems unlikely happen , given many times got red warning message yet nothing happened . overall , feels like whole thing bureaucratic farse make look like measures taken contain virus . "
541,"stupid stupid app , notifications silent , violates privacy "
542,"poorly made app , spams texts , completely disregards notion privacy . "
543,"great concept , app needs lot improvements , sometimes uninstall turn install , sometimes asks phone number send sms , try lot times . right apps working tried uninstall install error , ca access anymore app : ( "
544,app automatically taken permission message another .. worst app .. 
545,app good app access personal details .. like accessing detail phone pay app accessing acount information .. makes anger app 
546,"insights sms annoying . control app . even without login , app able track bank account transactions info "
547,without asking permission app acessing info phone beyond contacts ..... raise security flags head 
548,"first app says privacy important . , app get bank account details ? app need ? according , send messages internet vedio conferencing details required .i hope reply microsoft management soon rectified soon . "
549,"like version app . interferes sms , contacts . showing incorrect irrelevant info notifications without consent . uninstalled ! "
550,app reads messages creates financial profile . without taking approval . sensitive information tracker . 
551,calls start cracking opening app call lite version . regular version nowhere found . turn download apks 
552,common options missing .... hell app developed bloody option delete complete conversation skype contacts ? cant see online manage status . hopeless developers ..... please make user friendly much similar options like older version . 
553,"one worst app , facing problems since installed like slow app response , acount credited even paying , receiver unable hear sound properly , paid services blocked without informing reason . good skype skype audio/video call . "
554,ca open app without giving permission contacts sms . 👎 
555,"fix status sync devices . opening app always reset status available one even though set different logged devices . need option change status ( online , invisible ) "
556,permissions optional .. google implemented one choose whether grant without granting permissions app wo work .. ! uninstalling right away .. : ) 
557,"app shod work grated permissions . understand sms read permission mandatory . sms primary skype functionality , app could well used audio video calling . "
558,unable login time via biometrics . design poor app slow . programmer think app poorly coded weak state managment . code optimization must first priority . 
559,useless application ever login app says account registered . facing problem last couple months . 
560,useless app horrible experience better remove playstore . 
561,"shame.❌ one worst apps come across years . despite best efforts , failed register app . seeking tons information , relevant , irrevant strictly confidential , froze stuck . moved neither forward backward . choice uninstall app . abl team advised seek screenshot app information device downloaded . rather fix bugs app infested . disappointing ! "
562,"one worst apps come across years . despite best efforts , failed register app . seeking tons information , relevant , irrevant strictly confidential , froze stuck . moved neither forward backward . choice uninstall app . abl team advised seek screenshot app information device downloaded . rather fix bugs app infested . disappointing ! "
563,secure opt last update working . app accepting new generated codes . customer care representative saying update latest app app store already latest version app . disappointed 
564,aoa . app permanently stored password . even uninstalling application remove . . saved password . 
565,bad app logged account period time . days biometric system erase saying invalid user password user name password perfect . 
566,good experience app secure confidentia app 
567,"app support us amend information source documents need go bank amendment need urgent basis . block account till updation amendment . overseas unable operate account due inactivation account , complaint management said come person purpose due biometric verification really make sense . look comments abl , already mentioned respond comp cell . "
568,app storing biometric data login 
569,"unable login app , biometric option also available . "
570,"disappointed app . many times , got locked even entering correct username/password . also complaint call representative couple times still issue occur . bad experience myabl app . "
571,lost username & password recover username 'll put username otherwise ca login . ridiculous . simply recover password mobile number . user friendly app . recommended . 
572,"respected abl authority , login updating app . message appears , new version available . . . strange feature demanded first loginto gmail account . instantly showed icon 'installed without showing green circle downloading . afraid , hacking feature . apps get updated suddenly . login abl ? "
573,"one worst app ever made . stop making web applications . recognize account , always errors show removed thoughout app use . spend money something good else f ... bank services "
574,requires login reset helpline irritating . reset provides 2-3 successful login gets locked mentioning security reasons without reason . using meezan bank app second account pleasant experience . 
575,"pathetic app . showing statement , creating payee . always processing even fast internet connection . login nothing happening . used many banking apps one useless . "
576,automatically deactivate biometric login working app properly 
577,app keeps suspending operations assigned .. time shows account available . biometric failed .. despite fact verified biometrics .. 
578,satisfied app ive register app put user name password signing totally poor app experience 
579,"worst app make better , need fingerprint login , sucks type id password every time open app "
580,able open app provided user id password . easy operate 
581,app bugs . user cant set password unless hides precautions . useless app interface good . 
582,"much needed app finally came android . need improvements advances features like finger print login , internet session activation , download bank statements transaction history / details . "
583,uninstall immediately . app asking much permission . 
584,"app requests access user device photo , media files , also wants ability read make change users sim cards . grant access rights , able use app . intrusive , non necessary posting threat data privacy security . "
585,"downloaded , android 11 , gave permission camera , app open "
586,download . contains malware . app sends private health information unknown sources infringing national security protocol . 
587,locks app allowing camera 
588,"potentially dangerous app . signal messenger , sort copycat . links real signal privacy policy , way shape form affiliated signal . please beware install potentially malicious application . "
589,"giving permission log app , app showing permission acess app "
590,kept saying permissions access app . bad experience 😤 
591,app showing permission please solve problem 
592,"app general useful , new virtual assistant permanently asking permission displayed screens really annoying ! option allow , option permanently deny . "
593,"poor performance , constantly ask permission contacts . found nothing expected , upset : ( ! -- - thanks response ! need full features . stop nagging user everywhere go . app asked permission needed , everywhere . respect user decision . "
594,bogus app sabotaged device barrage ads without asking permissions . 
595,ok click app google play store app scroll way look app permissions read ask `` app really need many permissions `` like terrible ! stealing data dont use app anymore 
596,appreciate forced download update app supersedes login screens pin screens turning phone . deleting . beware . 
597,app advertised . want data back 
598,fake app . privacy may hacked app . google play take step app . 
599,app need many permissions ? 
600,"would let access pictures use app . also , using pop ups close app . uninstalled improvements . "
601,sketchy app asking google account data use without alternatives . 
602,"access app , every timeit locks information "
603,"worked properly would good app , ..... logging works 50 % time . pin fingerprint . randomly drops session closes app . none features work well . live chat never connects . tells everday ive got secure messages either wont show faulty . frustrating . could good . "
604,"app works great needs . checking balances , moving money accounts making ad-hoc payments . 7/3/19 : downgraded 3 stars . changed fingerprint mobile appreciate app detected requested login code kept repeating time used app . really frustrating email app support got canned reply . annoyingly uninstall , reinstall complete entire registration process . "
605,"big negative app show direct debits standing orders . usable viewing transactions . one positive allows logging via fingerprints phone , need remember complex passwords "
606,app fantastic update . locked completely get back sends text message code . currently typing receiving incoming receive code . disconnected needs redone shocking anyway 
607,app updated telling bank account valid use app . way checking expect login online useless 
608,"privacy issues ? ca find privacy info . deleted app appeared download info phone contacts pictures . untill privacy info clear available beginning download process , would recommend downloading . "
609,"invasive ! wanted create simple text label package . know , name address traditionally made letters alphabet sometimes known text . install app immediately asks access contacts , asks permission take photos video finally asks access photos , media video files ! invasive privacy ? merely wanted text label denied permission ( understandably , hope ) . app immediately closed ! ? "
610,wants phone contact access . ? work without two ( granted storage access ) permissions . uninstalled . 
611,"latest update , awesome ! generally , great app help manage family access , locations , alerts . latest update though stuffed location bizzo , visibility location family members , others location updated . also time stamp history , date stamp , annoying review time , dismissed notification . "
612,app protected password . one login app disable settings . 
613,microsoft account compromised . forced install app attempt secure data . good app . basic . 
614,"compared google family app , entirely astonishingly unintuitive . adding/linking device app requires phd . add think want location permissions improper purposes ( e.g . marketing tracking users ) rather bona fide need operate app . thing stinks . hope someone management reads responds concerns . back door surveillance marketing , masquerading needing location access . "
615,app makes things complicated . backdoor login something remove app . 
616,useless application remove google play store 
617,"current app contains permissions microphone , location , phone . android 13 needs storage permissions take pictures videos . "
618,wrost app dont recording take photo app 
619,totally sketchy app ... wanted permissions needed `` download `` photo gallery said would take long time .... beware 
620,"waste app , time asking privacy , watch connect app . "
621,app user friendly . app login issues . raised developer email . useless app . 
622,"worst application , even allow login app , please remove application playstore . "
623,good app needs improvement include watch faces cloud based app based . help users co . also ask permission beginning regarding running background nd select option battery optimization exclude app . resolve issues 
624,"pathetic app . options check gps path covered . need app permissions mandatorily even open .. including ur data , camera , calendar etc . ? ? ? ? "
625,wrost app . connected time . call notification showed watsup notification showed . foolish app use . 
626,- ui interface outdated . - notifications : showing social media . want enable notifications whatsapp instagram facebook still receiving separate feature unlike noise fit app . - watch sending notifications even using phone display . happen . - app gives option add photos watch face dials visible 3rd section clickable using one plus 7 
627,thing hijacked phone theme without permission ! installed apps without permission . 
628,horrible app thought hacked changed wallpaper added apps install app 
629,"installed wanted 1 app , dozen installed phone without permission . misleading . want uninstall go via playstore "
630,"app takes control whole phone ... completely changed everything . floating icons , screen glitching could get apps . completely unsafe app download . scared . installed app thinking like memoji iphones , could used android . installed app changed layout phone , changed wallpaper , changed search engine , adverts displayed homescreen ... "
631,"make sure read full description , app took entire phone installed additional apps never permission installed . change entire layout quality said . disappointed quality overall app . wish ads description app store emphasized going happen phone . also hard time struggling delete manage app . app seems . buy add . 😤👎🏽 "
632,first thought app . opened app next thing knew app tured phone ! ! ! basically took phone ! ! ! install app ! ! ! ! ! ! beware ! ! ! dangurous ! ! ! ! ! 
633,hate app ok starters messes entire home screen gets rid lot others apps face moji nope wo let u delete android .. get heed warning . app . sucks . . messed . . . home . screen . . deleted . . apps . . could delete 
634,app disgrace ! wallpaper go apps ads appear alot cant continue activities ! sometimes powers phone without permission ! thing glitches phone wont work ! people dont install trash ! ! ! ! ! ! ! ! ! 
635,"dont install . takes , adds unwanted apps . changes interface . fills phone junk ! hijacks smartphone ! warning dont download ! "
636,changed things would let delete home screen let delete google play . hate app 😤😬😡😠😡😠😡😠😡😠😡😠😡😠😡😠😡😠😡😠😡😠😡😠😡 
637,"app scary lies ads , downloaded make memoji showed wallpaper whole phone reorganized wallpaper different tried leave app phone left app . app show home screen app page opened play store , searched deleted , wallpaper still weird wallpaper app put phone , happily folders back normal scared "
638,"terrible , changed wallpaper pretty much everything else app also kind like virus hid playstore could delete obviously worst put advertisements home screen , would , hate app good reviews fake believe ones liked , download app like way phone already . "
639,"app way much handle . could even press home button . many things going . downloaded expecting camera function , got way instead . included device cleaner/antivirus started going away phone without permission . app also ads handle . overall app invasive annoying . "
640,horrible app . changes entire look phone downloads bunch apps phone without permission . makes ads appear going home page overall makes difficult delete device . 0/10 recommend . 
641,"app sucks . changes background without permission , moves apps around , oh one thing , app sucks ! ! ! "
642,please download app add usless apps without permission . plus unorganized apps previously . unlock phone soon turn phone left without security left alone . app deserves stars . 
643,another app wanting person personal info scam google allow type play . 
644,app oosom bugs . insecure camera thing . using app secured ? ? ? 
645,"allow log claims already account reading pw , continue button nothing . web page sent code , option set pw . actually app manage social security . one share info unknown apps . "
646,"app immediately wants google account credit card data even 7 day trial , continue radar seven days take money subscription forgot uninstall ... "
647,"app wants info right bat , want $ 30 use app . screw . deleted . play store require app owners disclose costs descriptions waste time downloading find . "
648,"nope , refuse apps want personal info . wo using . immediately uninstalled . "
649,"downloaded app developer fails mention pay use give info create account . subscription service cost associated using app , developer disclose information upfront otherwise phishing . "
650,hate apps disguised free moment want use . lacks integrity . 
651,app start give access phone storage . need access files ? could malicious app . beware . 
652,"app feel secure , access everything , little . "
653,app seems promising ensure app leak miss use data clipboard texts etc ? everyone says `` end-to-end-encrypted `` nowadays evidences ? want use app mainly clipboard syncing due security privacy concerns unable . 
654,"installed app yesterday evening got data overusage warning . checked data usage , app used 2.9gb data god knows data-transfer . guess app steals private files something . case , uninstalled bloatware . "
655,app hangs enable location permissions popup 
656,forces give permissions need tried force turning battery saver mode . app destroys battery turn battery saver . 
657,app ui good enough fingerprint authentication big inconvenience . 
658,app broken . document scanning work allow continue registration . 
659,"poorly designed app . search feature . let guided sky home practice promised . app work unless allow see live location service constantly . baloney , zip code account , dont need constant location services turned . drains battery unneccesarily "
660,"application need financial data , purchase history user ? instaling apps stopped download complete ! ! "
661,"security issues . 1 . app asks update start fresh install google play , instead putting new version play ? meet google standards ? 2. app allow change default username password camera , admin/admin ? stupid keep default passwords ! ! ! "
662,"camera great , app , much . disables 30 days force cloud subscription use camera . app keeps trying download 3rd party updates outside google store . seems malicious , use risk . "
663,app forcing users update playstore . 
664,"worst app nice photos saving gallery , "
665,"using telling turn debugging phone , protection , better get rid app , rubbish . "
666,"app initially useful . live daily usage tracker always 1-2 days back . currently access app due upgrade , neither even reset password gain back entry "
667,"seeing many nice reviews decided download app .and even functional . firstly many ads ,2ndly click “ cut `` 'll asked select photo “ camera gallery `` ... selecting photo show , tried many times regret uninstalling one download trash .. waste data time "
668,wrost app history remove background 
669,"feel though privacy risk . app asks much personal information including age , full name lack proper protection top requires make account use app anonymously without account way deleting made . wanted see app doesnt mean wanted fully commited possibility hacked . would appreciate ability delete account fully . "
670,"download application always check rate reviews certain application . satisfied experienced opposite . downloaded app everything goes smooth . registered face allow permissions needed . says `` lock registered successfully `` . , try works lock phone . "
671,used good app . - many ads - dont understand needs many unnecessary permissions - wo work properly without google - constantly asks update + - asks consent unclear & c 
672,accept camera voice record storage .. look like bad app 
673,ok app timepass ... privacy features dissappointing . please add setting hiding liked list . 
674,worst app install ! ! install application application asking access privacy like photos videos storage location please install application . 
