,Review
69,subscribed app .. restore phone apps gone . asking registration . app forget id password options . cheating app 
70,google responsible accountable entity please remove app play store loots user money play identity using accounts sending fake msgs . please something immediately . ! 
71,fraud app forgot id password anable login premium account disgusting * install able login contact customers care 
72,playstore must remove apps like this😒 
73,worst app work properly want deactivate account app option think one greatest fraud app ever made 
74,app fraud type gud social networking work like thief plzzzz requested dont install 
75,worst app ever seen type apps . coustemer service respond . provide gmail working . main purpose app taking money install app . install app . time waste 
76,"subscription getting messages . thought users app fooling around , app sending messages users name . mistake made . trust similar applications "
77,found app using photos without permission instagram users . 
78,pleaee dont install mistakenly .this worst app fake id inside app wont let delete account anymore customer support app . acknowledged worst app google play 
79,app asks storage permission . denied uninstalled 
80,"wrost app word . required permission manage calls , take photo , record vedios , etc . "
81,"wants access storage , contacts phones data ... worst app "
82,way many permissions . wants control android system access personal info . shove 
83,"features nice & would used quite bit . however , app runs constantly apparent reason causes become irritated & suspicious . chose uninstall battery lifetime far important necessary app . photo editor runs continuously dozen installed . "
84,app spying app goes way beyond platform pay rent . focuses collecting personal information private internet phone calls txt mms data . alreating government officals deem fit form `` illegal activities `` crime given fact `` legal `` differs `` illegal `` 'll greatfully transfer private data . forget data worth billions . wo give info llords hold . 
85,"disabled notifications android system settings , every time open app prompted enable notifications . option within app disable notifications , stuck annoying notification every time open app . "
86,"reviewed permissions app requires ... absolutely ridiculous . strongly suggest read . permissions agree include : read private calendar event data , sms messages , `` redirect outgoing phone calls `` ... heck ? ! ? nice looking app permissions insane ... "
87,app sync online banking app . asked user apply 2fa sms .. make use secure2u feature online banking app . since app kind linked associate online banking app . time overhaul sync online banking app started using . waste time download . 
88,login 16digit credit card number every time big deterent use app . nowadays common use fingerprint easy secure access . @ jun 2019 app got worse ! cant log unable tick agree terms conditions . silly app ! 
89,app freezes second screen saying need give location permissions . completed yet frozen screen still . 
90,useless app . would accept password tried reset . also would accept temporary password emailed ... uninstalled . 
91,"broken apps , apps force close scan qrcode consumer product "
92,app sucks ! ! ! locks nearly every time login . change password 5 times one week . use fingerprint login well locks saying ca verify credentials . fix app . need view bank account . use app fix . 
93,unable use fingerprint log . kicks app completely . 
94,2 cameras one back house ( tosee ) app great stores motion clips easy see . front camera use new tosee plus app cant connect camera app using back tosee plus app garbage basically wants subscribe monthly service pay . anyone using decent app alternative ? ? 
95,app claims another app preventing usage .. ? _i enjoyed app yrs update one phones restricted warning .. 2 phones.difff carriers .. cant use either one ... 👎🏽boo 
96,"app stuck black screen clear data shared required details . paid membership , even able use app . response developer side . "
97,"app functionality working fine , much notification sell products . thats done , breach trust . "
98,app throwing useless irritating notifications . planning uninstall . 
99,"app tracks sleep staying notification panel without user permission . breach trust privacy shows data hungry companies . got need app uninstalled . let know change policies . know turn sleep tracking , explicit user permission . "
100,signing email need permission view read messages asking phone privacy left web later stage ordering stuff phone provided . importantly try app first see useful decide keep delete . deleting app . 
101,battery drainer ! started sleep monitoring without selecting option . presumably prevent app sleeping collect data . 
102,app allow read privacy policy terms . quit app click privacy policy . idea going details . 
103,app monitors sleep even turning sleep monitoring setting app . please fix bug . keep getting notifications every night manually turn . 
